rank,symbol_a,symbol_b,pair,timeframe,coint_statistic,coint_pvalue,adf_statistic,adf_pvalue,half_life_days,sharpe_ratio,profit_factor,win_rate,total_trades,max_drawdown,avg_holding_minutes,hedge_ratio,spread_mean,spread_std,avg_dollar_volume_a,avg_dollar_volume_b,window_start,window_end,sample_bars
41,AHCO,SIBN,AHCO/SIBN,1 day,-4.69108392,0.000584,-4.68656985,8.9e-05,8.610601979166667,3.45774179,,1.0,7,0.16539027,19748.571429,-0.52575953,,0.10985501,6511956.25,3581917.84,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
42,ABM,FB,ABM/FB,1 day,-3.68419589,0.0192,-3.66780326,0.00459,2.8010058513888887,3.11657799,,1.0,5,0.01849975,6912.0,-1.70736234,,0.02537701,10530328.7,293775.41,2025-06-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,87
43,PH,RMD,PH/RMD,1 day,-4.65759175,0.000667,-4.65217743,0.000103,8.19175875625,3.37892041,,1.0,7,0.0315448,15428.571429,0.95959203,,0.05522126,147174692.8,94966206.31,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
44,AHCO,XOM,AHCO/XOM,1 day,-4.98225286,0.000177,-4.80594075,5.3e-05,8.278364767361111,3.36697172,,1.0,7,0.14830727,15017.142857,1.55011044,,0.10159553,6511956.25,1060738751.26,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
45,O,CTRA,O/CTRA,1 day,-4.57456568,0.000921,-4.57086644,0.000146,10.724375622916666,3.67141702,,1.0,7,0.05473208,20982.857143,-0.57827627,,0.04701706,184957961.68,114789954.04,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
46,ABM,WLY,ABM/WLY,1 day,-4.2666707,0.002884,-4.26327206,0.000514,11.476261824305556,3.80877911,,1.0,7,0.02959914,14194.285714,0.58232962,,0.05729448,10530328.7,7323007.63,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
47,DHR,ASPN,DHR/ASPN,1 day,-5.2096767,6.7e-05,-5.20486639,9e-06,7.168567878472222,3.10905747,,1.0,7,0.03939753,12342.857143,0.20507877,,0.04305057,393049274.76,16466286.9,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
48,ALLO,OMI,ALLO/OMI,1 day,-4.5648105,0.000956,-4.37219646,0.000332,11.450493495138888,4.16679748,,1.0,6,0.20615258,19680.0,0.7797751,,0.17916102,5699783.6,7454578.82,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
49,ACT,AHT,ACT/AHT,1 day,-4.24403962,0.003125,-4.49280923,0.000203,9.805449752777777,3.65169928,,1.0,7,0.06321746,20365.714286,-0.21383562,,0.04398805,5005232.6,411578.98,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
50,ANIP,UAA,ANIP/UAA,1 day,-4.01486722,0.006838,-4.01099455,0.001354,9.828122229166667,3.83470761,,1.0,7,0.06999717,14605.714286,-0.68711023,,0.09060023,7815985.19,61721171.81,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
51,ALL,COMP,ALL/COMP,1 day,-4.70562525,0.000551,-4.70289871,8.3e-05,11.249134272222221,3.95116452,,1.0,6,0.03999997,19920.0,0.32448988,,0.06325127,130939106.33,28177911.15,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
52,ALL,COMP,ALL/COMP,1 day,-4.70562525,0.000551,-4.70289871,8.3e-05,11.249134272222221,3.95116452,,1.0,6,0.03999997,19920.0,0.32448988,,0.06325127,130939106.33,28177911.15,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
